Date Planted,Date harvested for size measures,Count of days,Species,Replicate,Plant Height (cm),Plant longest width (cm),Plant # of leaves,Aboveground biomass (g),Belowground biomass (g),Total biomass (g),Biomass/day
"May 4, 2022","June 13, 2022",40.00,Ast fal,1,3.4,5.7,7,0.04,0.03,0.07,0.00175
"May 4, 2022","June 13, 2022",40.00,Ast fal,2,2.6,4.4,4,0.03,0.03,0.06,0.0015
"May 4, 2022","June 13, 2022",40.00,Ast fal,3,2.1,3.25,5,0.03,,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Ast fal,4,2.2,3.9,5,0.02,0.01,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Ast fal,5,3.1,5.85,7,0.04,0.01,0.05,0.00125
"May 4, 2022","June 13, 2022",40.00,Bro ine,1,8.9,13.2,3,0.01,0.01,0.02,0.0005
"May 4, 2022","June 13, 2022",40.00,Bro ine,2,8.8,12.3,3,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Bro ine,3,6.5,10,2,<.01,<.01,0,0
"May 4, 2022","June 13, 2022",40.00,Bro ine,4,8.8,13.7,2,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Bro ine,5,10.4,15.8,3,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Poa Pra,1,7.1,9.4,2,<.01,<.01,0,0
"May 4, 2022","June 13, 2022",40.00,Poa Pra,2,6,9.2,3,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Poa Pra,3,3.6,6.6,4,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Poa Pra,4,8.75,12.45,4,<.01,<.01,0,0
"May 4, 2022","June 13, 2022",40.00,Poa Pra,5,4.2,5.4,2,<.01,<.01,0,0
"May 4, 2022","June 13, 2022",40.00,Sti vir,1,9,13.6,3,0.01,0.01,0.02,0.0005
"May 4, 2022","June 13, 2022",40.00,Sti vir,2,11.3,21.2,3,0.02,0.01,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Sti vir,3,11.4,18,3,0.02,0.01,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Sti vir,4,14.8,20.8,3,0.03,0.02,0.05,0.00125
"May 4, 2022","June 13, 2022",40.00,Sti vir,5,11.4,19.1,3,0.02,0.01,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Gai ari,1,5.5,10.1,4,0.09,0.03,0.12,0.003
"May 4, 2022","June 13, 2022",40.00,Gai ari,2,2.6,4.5,3,0.02,0.01,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Gai ari,3,3,3.3,1,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Gai ari,4,3.1,6.1,3,0.03,0.03,0.06,0.0015
"May 4, 2022","June 13, 2022",40.00,Gai ari,5,2.5,4.7,5,0.03,0.01,0.04,0.001
"May 4, 2022","June 13, 2022",40.00,Hed alp,1,7.85,9.9,7,0.04,0.03,0.07,0.00175
"May 4, 2022","June 13, 2022",40.00,Hed alp,2,3.4,4.5,3,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Hed alp,3,7.1,10.5,6,0.04,0.04,0.08,0.002
"May 4, 2022","June 13, 2022",40.00,Hed alp,4,6.3,9.3,4,0.04,0.02,0.06,0.0015
"May 4, 2022","June 13, 2022",40.00,Hed alp,5,5.3,9,6,0.04,0.03,0.07,0.00175
"May 4, 2022","June 13, 2022",40.00,Ely tra,1,12.1,23.5,4,0.02,<.01,0.02,0.0005
"May 4, 2022","June 13, 2022",40.00,Ely tra,2,11.7,20.5,3,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Ely tra,3,14.2,28.1,3,0.02,0.01,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Ely tra,4,11,20,3,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Ely tra,5,11.9,23.6,3,0.02,0.01,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Geu tri,1,2.1,1.35,5,0.01,<.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Geu tri,2,2.1,3.15,7,0.03,0.01,0.04,0.001
"May 4, 2022","June 13, 2022",40.00,Geu tri,3,1.3,2.4,5,<.01,0.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Geu tri,4,1.7,2.5,5,0.02,0.01,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Geu tri,5,1.1,2.25,5,<.01,0,0,0
"May 4, 2022","June 13, 2022",40.00,Ast lae,1,5.3,13.2,5,0.13,0.04,0.17,0.00425
"May 4, 2022","June 13, 2022",40.00,Ast lae,2,3.7,6.2,4,0.04,0.02,0.06,0.0015
"May 4, 2022","June 13, 2022",40.00,Ast lae,3,3.2,4.2,4,0.02,0.01,0.03,0.00075
"May 4, 2022","June 13, 2022",40.00,Ast lae,4,1.4,1.9,1,<.01,0,0,0
"May 4, 2022","June 13, 2022",40.00,Ast lae,5,1.3,1.6,4,<.01,0,0,0
"May 4, 2022","June 13, 2022",40.00,Sti com,1,20.2,39.6,11,,0.02,0.02,0.0005
"May 4, 2022","June 13, 2022",40.00,Sti com,2,n/a,n/a,n/a,0.12,,0.12,0.003
"May 4, 2022","June 13, 2022",40.00,Sti com,3,n/a,n/a,n/a,,,0,0
"May 4, 2022","June 13, 2022",40.00,Sti com,4,n/a,n/a,n/a,,,0,0
"May 4, 2022","June 13, 2022",40.00,Sti com,5,n/a,n/a,n/a,,,0,0
"May 4, 2022","June 13, 2022",40.00,Koe mac,1,12.5,20.7,12,0.06,0.02,0.08,0.002
"May 4, 2022","June 13, 2022",40.00,Koe mac,2,4.3,8.1,2,<.01,0,0,0
"May 4, 2022","June 13, 2022",40.00,Koe mac,3,3.8,6.8,3,0.01,0,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Koe mac,4,2.8,4.5,2,0.01,0,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Koe mac,5,7.9,14.4,6,<.01/,0.01,0.01,0.00025
"May 4, 2022","June 13, 2022",40.00,Bou gra,1,14.6,19,4,0.01,0.01,0.02,0.0005
"May 4, 2022","June 13, 2022",40.00,Bou gra,2,6.85,8.65,3,<.01,0,0,0
"May 4, 2022","June 13, 2022",40.00,Bou gra,3,15.2,22.2,4,0.01,0.01,0.02,0.0005
"May 4, 2022","June 13, 2022",40.00,Bou gra,4,8.7,12.3,2,<.01,0,0,0
"May 4, 2022","June 13, 2022",40.00,Bou gra,5,6.05,8.55,3,<.01,0,0,0
"May 4, 2022","June 13, 2022",40.00,Fra vir,1,17.5,30.5,10,0.1,0.01,0.11,0.00275
"May 4, 2022","June 13, 2022",40.00,Fra vir,2,4,6.2,9,0.04,0.01,0.05,0.00125
"May 4, 2022","June 13, 2022",40.00,Fra vir,3,9.1,17.5,7,0.09,0.01,0.1,0.0025
"May 4, 2022","June 13, 2022",40.00,Fra vir,4,4.3,6.1,5,0.02,0,0.02,0.0005
"May 4, 2022","June 13, 2022",40.00,Fra vir,5,4.6,5.9,8,0.04,0,0.04,0.001
"May 4, 2022","June 13, 2022",40.00,Tra dub,1,12.7,20.2,5,0.03,0.02,0.05,0.00125
"May 4, 2022","June 13, 2022",40.00,Tra dub,2,13.65,20.65,4,0.03,0.02,0.05,0.00125
"May 4, 2022","June 13, 2022",40.00,Tra dub,3,14.8,25.6,7,0.04,0.03,0.07,0.00175
"May 4, 2022","June 13, 2022",40.00,Tra dub,4,14.05,28.55,5,0.04,0.05,0.09,0.00225
"May 4, 2022","June 13, 2022",40.00,Tra dub,5,15.1,26.4,8,0.06,0.04,0.1,0.0025
"December 12, 2023","January 15, 2024",34.00,Pot arg,1,2.1,3.4,4,0.024,0.002,0.026,0.000764706
"December 12, 2023","January 15, 2024",34.00,Pot arg,2,3,3.5,3,0.018,0.001,0.019,0.000558824
"December 12, 2023","January 15, 2024",34.00,Pot arg,3,2.9,3.3,4,0.02,0.001,0.021,0.000617647
"December 12, 2023","January 15, 2024",34.00,Pot arg,4,3.1,4.2,4,0.017,0.002,0.019,0.000558824
"December 12, 2023","January 15, 2024",34.00,Pot arg,5,1.7,2.1,3,0.004,0.001,0.005,0.000147059
"December 8, 2023","January 15, 2024",38.00,Sti com,1,14.7,15.5,10,0.059,0.021,0.08,0.002105263
"February 6, 2024","March 12, 2024",35.00,Sti com,2,5.2,3,8,0.012,0.002,0.014,0.0004
"February 6, 2024","March 12, 2024",35.00,Sti com,3,4,3.5,14,0.019,0.002,0.021,0.0006
"February 6, 2024","March 12, 2024",35.00,Sti com,4,7.2,7.2,18,0.055,0.002,0.057,0.001628571
"February 6, 2024","March 12, 2024",35.00,Sti com,5,9.8,8.2,13,0.052,0.007,0.059,0.001685714
"January 19, 2024","March 12, 2024",53.00,Ane pat,1,2.1,1.6,1,0.004,0.002,0.006,0.000113208
"January 19, 2024","March 12, 2024",53.00,Ane pat,2,1.6,0.9,1,0.001,0.002,0.003,5.66038E-05
"January 19, 2024","March 12, 2024",53.00,Ane pat,3,1.9,1.7,2,0.006,0.002,0.008,0.000150943
"January 19, 2024","March 12, 2024",53.00,Ane pat,4,2.4,2,2,0.009,0.002,0.011,0.000207547
