Species code,Nutrients,Interaction type,Mean interaction value ± SE,Count of competitive interactions,Count of facilitative interactions
Ane pat,Fertilized,Neighbour effect,-2.885 ± 0.33,24,0
Ane pat,Fertilized,Neighbour response,-0.451 ± 0.231,18,6
Ane pat,Unfertilized,Neighbour effect,-2.734 ± 0.253,25,0
Ane pat,Unfertilized,Neighbour response,-1.356 ± 0.243,21,4
Bou gra,Fertilized,Neighbour effect,0.227 ± 0.189,21,21
Bou gra,Fertilized,Neighbour response,-0.235 ± 0.098,28,14
Bou gra,Unfertilized,Neighbour effect,-0.271 ± 0.204,27,12
Bou gra,Unfertilized,Neighbour response,-0.777 ± 0.162,29,10
Bro ine,Fertilized,Neighbour effect,0.214 ± 0.175,19,19
Bro ine,Fertilized,Neighbour response,-0.314 ± 0.077,29,9
Bro ine,Unfertilized,Neighbour effect,-0.311 ± 0.138,25,18
Bro ine,Unfertilized,Neighbour response,-0.588 ± 0.101,34,9
Ely tra,Fertilized,Neighbour effect,-0.281 ± 0.203,24,17
Ely tra,Fertilized,Neighbour response,-0.509 ± 0.106,31,10
Ely tra,Unfertilized,Neighbour effect,-0.291 ± 0.128,28,11
Ely tra,Unfertilized,Neighbour response,-0.282 ± 0.08,27,12
Gai ari,Fertilized,Neighbour effect,-1.483 ± 0.288,29,9
Gai ari,Fertilized,Neighbour response,-0.86 ± 0.223,26,12
Gai ari,Unfertilized,Neighbour effect,-1.428 ± 0.183,37,5
Gai ari,Unfertilized,Neighbour response,-1.113 ± 0.141,38,4
Geu tri,Fertilized,Neighbour effect,-1.707 ± 0.318,25,5
Geu tri,Fertilized,Neighbour response,-0.966 ± 0.182,25,5
Geu tri,Unfertilized,Neighbour effect,-1.8 ± 0.212,28,2
Geu tri,Unfertilized,Neighbour response,-1.185 ± 0.158,28,2
Hed alp,Fertilized,Neighbour effect,-1.246 ± 0.245,30,10
Hed alp,Fertilized,Neighbour response,-0.776 ± 0.169,31,9
Hed alp,Unfertilized,Neighbour effect,-1.174 ± 0.19,35,7
Hed alp,Unfertilized,Neighbour response,-1.054 ± 0.16,35,7
Koe mac,Fertilized,Neighbour effect,0.067 ± 0.225,17,22
Koe mac,Fertilized,Neighbour response,-0.888 ± 0.137,37,2
Koe mac,Unfertilized,Neighbour effect,-0.026 ± 0.156,17,23
Koe mac,Unfertilized,Neighbour response,-0.632 ± 0.116,34,6
Poa pra,Fertilized,Neighbour effect,-0.242 ± 0.224,28,16
Poa pra,Fertilized,Neighbour response,-0.963 ± 0.176,39,5
Poa pra,Unfertilized,Neighbour effect,-0.388 ± 0.168,26,14
Poa pra,Unfertilized,Neighbour response,-1.03 ± 0.13,38,2
Pot arg,Fertilized,Neighbour effect,-0.63 ± 0.224,26,14
Pot arg,Fertilized,Neighbour response,-1.151 ± 0.15,38,2
Pot arg,Unfertilized,Neighbour effect,-0.838 ± 0.205,27,11
Pot arg,Unfertilized,Neighbour response,-1.066 ± 0.18,32,6
Sti com,Fertilized,Neighbour effect,-1.569 ± 0.285,30,6
Sti com,Fertilized,Neighbour response,-0.944 ± 0.169,30,6
Sti com,Unfertilized,Neighbour effect,-1.363 ± 0.23,34,4
Sti com,Unfertilized,Neighbour response,-0.962 ± 0.191,32,6
Sti vir,Fertilized,Neighbour effect,-1.451 ± 0.23,33,6
Sti vir,Fertilized,Neighbour response,-1.396 ± 0.177,36,3
Sti vir,Unfertilized,Neighbour effect,-0.964 ± 0.188,34,8
Sti vir,Unfertilized,Neighbour response,-0.577 ± 0.147,30,12
Tra dub,Fertilized,Neighbour effect,-0.526 ± 0.195,22,15
Tra dub,Fertilized,Neighbour response,-0.852 ± 0.145,32,5
Tra dub,Unfertilized,Neighbour effect,-0.469 ± 0.164,24,16
Tra dub,Unfertilized,Neighbour response,-0.762 ± 0.121,34,6
